algorithm,trace_mode,address_bits,page_size,levels,frames,references,hits,page_faults,replacements,empty_frames,hit_ratio,page_table_nodes,page_table_entries,page_table_bytes,real_page_size,real_free_before,real_free_after,real_cached_before,real_cached_after
FIFO,locality,32,8192,3,32,10000,7354,2646,2614,0,0.735400,4,131,6224,NA,NA,NA,NA,NA
LRU,locality,32,8192,3,32,10000,8338,1662,1630,0,0.833800,4,131,6224,NA,NA,NA,NA,NA
FIFO,locality,32,1024,1,64,10000,3063,6937,6873,0,0.306300,1,919,44120,NA,NA,NA,NA,NA
LRU,locality,32,1024,1,64,10000,3209,6791,6727,0,0.320900,1,919,44120,NA,NA,NA,NA,NA
FIFO,locality,32,1024,2,64,10000,3063,6937,6873,0,0.306300,2,920,44144,NA,NA,NA,NA,NA
LRU,locality,32,1024,2,64,10000,3209,6791,6727,0,0.320900,2,920,44144,NA,NA,NA,NA,NA
FIFO,locality,32,1024,3,64,10000,3063,6937,6873,0,0.306300,10,928,44336,NA,NA,NA,NA,NA
LRU,locality,32,1024,3,64,10000,3209,6791,6727,0,0.320900,10,928,44336,NA,NA,NA,NA,NA
FIFO,locality,32,2048,1,64,10000,5265,4735,4671,0,0.526500,1,504,24200,NA,NA,NA,NA,NA
LRU,locality,32,2048,1,64,10000,5953,4047,3983,0,0.595300,1,504,24200,NA,NA,NA,NA,NA
FIFO,locality,32,2048,2,64,10000,5265,4735,4671,0,0.526500,2,505,24224,NA,NA,NA,NA,NA
LRU,locality,32,2048,2,64,10000,5953,4047,3983,0,0.595300,2,505,24224,NA,NA,NA,NA,NA
FIFO,locality,32,2048,3,64,10000,5265,4735,4671,0,0.526500,6,509,24320,NA,NA,NA,NA,NA
LRU,locality,32,2048,3,64,10000,5953,4047,3983,0,0.595300,6,509,24320,NA,NA,NA,NA,NA
FIFO,locality,32,4096,1,64,10000,7334,2666,2602,0,0.733400,1,256,12296,NA,NA,NA,NA,NA
LRU,locality,32,4096,1,64,10000,8345,1655,1591,0,0.834500,1,256,12296,NA,NA,NA,NA,NA
FIFO,locality,32,4096,2,64,10000,7334,2666,2602,0,0.733400,2,257,12320,NA,NA,NA,NA,NA
LRU,locality,32,4096,2,64,10000,8345,1655,1591,0,0.834500,2,257,12320,NA,NA,NA,NA,NA
FIFO,locality,32,4096,3,64,10000,7334,2666,2602,0,0.733400,6,261,12416,NA,NA,NA,NA,NA
LRU,locality,32,4096,3,64,10000,8345,1655,1591,0,0.834500,6,261,12416,NA,NA,NA,NA,NA
FIFO,locality,32,8192,1,64,10000,8622,1378,1314,0,0.862200,1,128,6152,NA,NA,NA,NA,NA
LRU,locality,32,8192,1,64,10000,8936,1064,1000,0,0.893600,1,128,6152,NA,NA,NA,NA,NA
FIFO,locality,32,8192,2,64,10000,8622,1378,1314,0,0.862200,2,129,6176,NA,NA,NA,NA,NA
LRU,locality,32,8192,2,64,10000,8936,1064,1000,0,0.893600,2,129,6176,NA,NA,NA,NA,NA
FIFO,locality,32,8192,3,64,10000,8622,1378,1314,0,0.862200,4,131,6224,NA,NA,NA,NA,NA
LRU,locality,32,8192,3,64,10000,8936,1064,1000,0,0.893600,4,131,6224,NA,NA,NA,NA,NA
